Job: 7873891  |  Node: d1029  |  Thu Jun 25 04:06:35 PM EDT 2026
No restart file found -- starting fresh.
LAMMPS (11 Feb 2026 - Development - patch_11Feb2026-99-gb75dfcc930-modified)
W0625 16:07:25.840000 1925552 site-packages/torch/fx/_symbolic_trace.py:56] is_fx_tracing will return true for both fx.symbolic_trace and torch.export. Please use is_fx_tracing_symbolic_tracing() for specifically fx.symbolic_trace or torch.compiler.is_compiling() for specifically torch.export/compile.
KOKKOS mode with Kokkos version 5.0.2 is enabled
  using double precision
  using view layout = legacy
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0.051377743 0.051377743 0.051377743) to (17.911841 17.911841 17.911841)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  501 atoms
  reading velocities ...
  501 velocities
  read_data CPU = 0.104 seconds
1 atoms in group H_atom
500 atoms in group metal
### Phase 1: Equilibration 1000 ps at 400 K ###

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- KOKKOS package: https://doi.org/10.1145/3731599.3767498
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 8, bins = 3 3 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mliap/kk, perpetual
      attributes: full, newton on, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 113.3 | 113.3 | 113.3 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Press          Volume    
    152000   434.4431      -3233.1416      28.078089     -3205.0635      28262.712      5697.4192    
    153000   396.95563     -3232.906       25.655271     -3207.2507      25205.498      5697.4192    
    154000   407.37415     -3231.5542      26.328621     -3205.2256      26649.091      5697.4192    
    155000   383.65616     -3229.8145      24.795725     -3205.0188      28263.473      5697.4192    
    156000   422.63487     -3231.3031      27.314922     -3203.9882      26905.281      5697.4192    
    157000   395.52306     -3232.3615      25.562684     -3206.7988      27000.613      5697.4192    
    158000   385.45278     -3232.0715      24.911841     -3207.1596      26527.198      5697.4192    
    159000   391.41023     -3232.2502      25.296871     -3206.9533      24987.747      5697.4192    
    160000   417.72342     -3231.6982      26.997495     -3204.7007      28860.401      5697.4192    
    161000   427.13123     -3232.6176      27.605522     -3205.0121      27409.705      5697.4192    
    162000   405.16943     -3232.848       26.18613      -3206.6619      25057.889      5697.4192    
    163000   389.16108     -3231.0145      25.151509     -3205.863       27416.574      5697.4192    
    164000   406.395       -3231.3232      26.265338     -3205.0579      28299.131      5697.4192    
    165000   401.25851     -3230.6165      25.933367     -3204.6831      30261.72       5697.4192    
    166000   392.10858     -3232.5028      25.342006     -3207.1608      28888.832      5697.4192    
    167000   382.36957     -3232.4112      24.712573     -3207.6987      27450.302      5697.4192    
    168000   421.72122     -3232.3679      27.255873     -3205.112       25541.289      5697.4192    
    169000   418.72792     -3231.4128      27.062416     -3204.3504      27616.79       5697.4192    
    170000   386.90081     -3232.5649      25.005428     -3207.5595      26936.701      5697.4192    
    171000   383.82716     -3232.6227      24.806777     -3207.8159      26271.341      5697.4192    
    172000   423.08952     -3231.1865      27.344307     -3203.8422      26633.553      5697.4192    
    173000   382.59311     -3231.8261      24.727021     -3207.099       29003.021      5697.4192    
    174000   389.01111     -3232.12        25.141816     -3206.9782      28850.693      5697.4192    
    175000   411.26395     -3231.5544      26.580019     -3204.9744      28716.084      5697.4192    
